ssn|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
884-30-1393|72d1015c8a24ac628bd4361fd3b15fbf|2023-05-13|01:35:17|1683956117|shopping_net|349.71|1|fraud_Kerluke-Abshire|31.563268|-95.484898
884-30-1393|90e50178b3923d535617c54a446dfcd5|2023-05-13|00:03:25|1683950605|grocery_pos|354.7|1|fraud_Huel, Hammes and Witting|32.142043|-96.409203
884-30-1393|60f063b6dcb7e9479d5e4d8f1761f1f2|2023-05-13|00:31:16|1683952276|shopping_net|703.78|1|fraud_Kuhic LLC|32.577847|-97.130223
884-30-1393|d457892111fe17ffb9cd569dadc6b935|2023-05-13|00:41:04|1683952864|shopping_net|940.54|1|fraud_Labadie, Treutel and Bode|31.053991|-95.369773
884-30-1393|59baafe21bb8a15e9ffcd66d7d183c93|2023-05-13|02:49:51|1683960591|grocery_pos|941.74|1|fraud_Koepp-Parker|32.606465|-95.452918
884-30-1393|edcdfa489e6f564c6af39a44bab4b856|2023-05-13|03:39:58|1683963598|misc_net|1029.76|1|fraud_Rippin, Kub and Mann|31.014224|-97.213439
884-30-1393|2016ed4c54d370afc3cc35396eff699a|2023-05-13|03:56:52|1683964612|shopping_net|1023.3|1|fraud_Zboncak, Rowe and Murazik|31.17875|-96.217065
884-30-1393|ab9d49e5ae8de8fd7c746e33b8adc5dd|2023-05-14|14:32:13|1684089133|travel|1276.16|1|fraud_Kunze, Larkin and Mayert|32.313851|-96.027752
884-30-1393|c93d4959d321c9be639aa284b85e1f6e|2023-05-14|23:19:02|1684120742|health_fitness|460.79|1|fraud_Turcotte, Batz and Buckridge|31.244114|-97.066829
884-30-1393|03ddb7945a9f3fdf776cc5e2356bc04f|2023-05-14|23:59:04|1684123144|shopping_pos|21.93|1|fraud_Roob, Conn and Tremblay|31.43079|-96.02959
884-30-1393|2462a355e92e2707759e5b4a489b70ac|2023-05-14|23:10:49|1684120249|entertainment|20.21|1|fraud_Schaefer, Fay and Hilll|31.007484|-95.761341
884-30-1393|e2439c81a762fce83d00c42fd5026c7a|2023-05-14|14:50:41|1684090241|health_fitness|257.19|1|fraud_Hirthe-Beier|32.869393|-97.080812
884-30-1393|cad6b4b4f35f87b18b1997ed55132339|2023-05-14|22:43:24|1684118604|kids_pets|17.47|1|fraud_Waelchi-Wolf|31.608707|-96.526877
884-30-1393|569708e8b7a7165ab3df4d81cf50d1f0|2023-05-14|23:31:29|1684121489|travel|11.01|1|fraud_Medhurst, Labadie and Gottlieb|31.007601|-95.355131
884-30-1393|3482b6f180b0aea71d9a403fc8910964|2023-05-14|14:33:43|1684089223|home|9.71|1|fraud_Gerhold LLC|31.513482|-96.043822
884-30-1393|e044eca3a2f1dcd5c6f50eb8cfb35c98|2021-06-22|09:59:01|1624370341|grocery_pos|42.55|0|fraud_Strosin-Cruickshank|31.281763|-96.817295
884-30-1393|f1a6fda11ce2dccfb6897bc4ffa97e2c|2021-08-05|08:47:05|1628167625|misc_net|31.19|0|fraud_Rohan, White and Aufderhar|31.501018|-95.421851
884-30-1393|641605998f344e7bf7d5a57f77accb90|2021-08-15|11:13:52|1629040432|misc_net|56.99|0|fraud_Rohan, White and Aufderhar|32.1222|-97.204369
884-30-1393|0eba4b9dafd15ca6e5c2c010779486c1|2020-06-27|11:32:00|1593271920|gas_transport|31.27|0|fraud_Corwin-Collins|32.104416|-96.43121
884-30-1393|d9a56c9498fc8bbdb35b70e0e35fc647|2020-04-26|02:54:02|1587884042|gas_transport|48.06|0|fraud_Raynor, Reinger and Hagenes|31.564148|-97.108229
884-30-1393|cfac5489af204a32639e64ec4bef74e7|2021-08-05|11:04:41|1628175881|misc_net|61.3|0|fraud_Hayes, Marquardt and Dibbert|32.554649|-95.46185
884-30-1393|e0eb1ff5085ce1f7300c0ee9c3d1976c|2021-05-27|11:11:08|1622128268|grocery_pos|67.47|0|fraud_Vandervort-Funk|31.518379|-96.606511
884-30-1393|106fa4c339d656099c39caafbc26a6f2|2020-04-16|00:13:25|1587010405|gas_transport|70.87|0|fraud_Rodriguez Group|31.635496|-95.453222
884-30-1393|93e0faed8c140bf05dda4eb0ecbfce49|2021-08-28|06:23:47|1630146227|misc_net|57.04|0|fraud_Huel Ltd|32.459169|-96.707422
884-30-1393|a64526a3f657af9dbf6e12efcb27df65|2020-06-23|02:20:26|1592893226|gas_transport|44.9|0|fraud_Harber Inc|31.355358|-95.676269
