ssn|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
390-74-0028|b2ae4d1c131982293a1ee2afd7131157|2021-06-16|01:30:34|1623821434|grocery_pos|301.58|1|fraud_Huel, Hammes and Witting|61.735549|-144.379882
390-74-0028|d86ad05a723386ec0b178b175ea47232|2021-06-16|03:05:28|1623827128|grocery_pos|317.41|1|fraud_Deckow-O'Conner|61.575421|-144.292586
390-74-0028|c4fba25ae0b3aa445d6f1f8c3e1bcc01|2021-06-16|02:12:13|1623823933|grocery_pos|312.04|1|fraud_McDermott-Weimann|60.666764|-145.98641
390-74-0028|38e8b0c80055ea6f971b7f4736849461|2021-06-16|23:04:40|1623899080|misc_net|292.27|1|fraud_Miller-Harris|61.215663|-144.457055
390-74-0028|7e2874fd9adb5841064348209fdc7098|2021-06-17|22:42:25|1623984145|shopping_net|741.45|1|fraud_Stamm-Witting|61.744249|-145.703755
390-74-0028|1698727e834c5cd1b16950c91642c734|2021-06-17|15:15:01|1623957301|shopping_net|9.81|1|fraud_Kuhic LLC|60.923042|-145.766287
390-74-0028|328cdedffd8d12c78d44cdae73b40d7e|2021-06-17|23:27:32|1623986852|shopping_net|1058.71|1|fraud_Price Inc|61.302386|-144.204196
390-74-0028|ec5f50a4c8b8063b65346ddb4d2a22da|2021-06-17|20:05:45|1623974745|misc_pos|986.36|1|fraud_Yost, Block and Koepp|61.612265|-145.859768
390-74-0028|847ef193ed7c16e84cf28bbde9357a3f|2021-06-16|23:23:47|1623900227|grocery_pos|1053.61|1|fraud_Stracke-Lemke|61.843842|-145.456877
390-74-0028|89825ca6b43ccbac1842a175a27f4a59|2021-06-17|14:41:44|1623955304|shopping_net|931.12|1|fraud_Schmidt and Sons|61.414826|-144.616643
390-74-0028|54ed7a8efc45778ed2bf20d9fd6961d5|2021-06-17|23:03:56|1623985436|entertainment|1080.15|1|fraud_Runolfsdottir, Mueller and Hand|61.014123|-145.68586
390-74-0028|c7d99df0a05339bfbc7123778857ffba|2021-06-17|22:36:09|1623983769|shopping_net|967.52|1|fraud_Kuhic, Bins and Pfeffer|60.742156|-144.474859
