ssn|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
707-79-1529|4ba7d2d43b5823108816640097e06ee8|2021-04-10|00:42:09|1618029729|grocery_pos|13.79|1|fraud_Rutherford-Mertz|42.429773|-85.342146
707-79-1529|f769c27c30e8d40476647889855aa8f4|2021-04-10|03:13:01|1618038781|grocery_pos|325.97|1|fraud_Rutherford-Mertz|41.568445|-83.993637
707-79-1529|4d53ed6799a5241c74fb8522bd73fd71|2021-04-10|01:54:38|1618034078|grocery_net|301.08|1|fraud_Kling-Grant|41.261196|-83.764636
707-79-1529|5278d1c8c3bff6bfd22574811ab7e624|2021-04-11|23:32:37|1618198357|shopping_net|926.4|1|fraud_Lemke-Gutmann|41.861207|-85.104379
707-79-1529|ea7c9bca074ffbad14a5ae9c58b0e903|2021-04-11|22:04:48|1618193088|shopping_net|931.07|1|fraud_Reichert, Shanahan and Hayes|41.524129|-84.823937
707-79-1529|062a359f4843dc6ddab0025d3b659a6e|2021-04-11|20:49:27|1618188567|shopping_net|827.69|1|fraud_Hills-Witting|41.594829|-84.011079
707-79-1529|e39ddc41f41df6af0df3896dbcdf1575|2021-04-11|23:26:20|1618197980|shopping_net|1090.33|1|fraud_Predovic Inc|40.719705|-84.342437
707-79-1529|d6d2f19fc1a965317bf321bb04de8992|2022-08-13|00:56:44|1660366604|shopping_pos|63.32|0|fraud_Metz-Boehm|42.620111|-84.469988
707-79-1529|15abc9eb904cd00da7ac68c812ca9c6b|2022-08-24|06:06:50|1661335610|shopping_pos|62.76|0|fraud_Hermann and Sons|42.218628|-83.947089
707-79-1529|92a5f18ff3ad590bef2909b643d4b539|2020-01-16|04:59:55|1579168795|gas_transport|40.07|0|fraud_Jenkins, Hauck and Friesen|42.054236|-84.539212
707-79-1529|608185dcd7890c870d306d2d86bc5ae2|2020-07-22|03:21:14|1595402474|gas_transport|55.6|0|fraud_Kuvalis Ltd|42.300343|-85.12868
707-79-1529|a07a28df5e211b15f0a2037c3718f451|2020-03-18|00:24:10|1584505450|gas_transport|59.52|0|fraud_Brekke and Sons|42.664006|-85.329521
707-79-1529|1bc7a1d9922391d68c9c8ce2ce21f3aa|2021-11-03|08:11:08|1635941468|misc_pos|61.89|0|fraud_Yost, Block and Koepp|41.480375|-84.791291
707-79-1529|68ecbae5215c445696b2a4eb4925fc5c|2022-04-17|06:01:11|1650189671|shopping_net|60.15|0|fraud_Kassulke PLC|41.456828|-83.831253
