ssn|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
503-69-6140|5305cc0e80632d2b8dd0cafb9de0da77|2024-06-23|03:39:32|1719128372|grocery_pos|338.92|1|fraud_Mosciski, Gislason and Mertz|40.815306|-83.812547
503-69-6140|bb08a0595bd5b1ef3836aadf91610fbe|2024-06-23|01:04:34|1719119074|grocery_pos|329.61|1|fraud_Bailey-Morar|39.676561|-83.854191
503-69-6140|48cb82be8dd2114c171b0e13618d4081|2024-06-23|00:57:08|1719118628|grocery_pos|341.19|1|fraud_Goodwin-Nitzsche|40.597155|-83.86637
503-69-6140|b70509ef10e609de5ec835476ad77b34|2024-06-23|23:34:44|1719200084|grocery_pos|324.43|1|fraud_Koepp-Parker|39.856881|-82.688386
503-69-6140|7079f293ebe6568ba7ce71fdd6c0970b|2024-06-23|23:46:42|1719200802|misc_net|338.08|1|fraud_Rodriguez, Yost and Jenkins|40.313601|-83.282753
503-69-6140|a3e0d6caf41c1bfb00c747a862553fa7|2024-06-24|22:20:11|1719282011|shopping_pos|711.82|1|fraud_Daugherty, Pouros and Beahan|40.31199|-82.776936
503-69-6140|120003188f8ecc269e0688b61f321eb4|2024-06-24|15:40:08|1719258008|shopping_pos|709.81|1|fraud_Turner and Sons|41.065674|-84.087084
503-69-6140|6eaf408edf911c74dac57592bfb21f9e|2024-06-23|23:59:23|1719201563|shopping_net|1040.87|1|fraud_Gottlieb, Considine and Schultz|40.322474|-82.460862
503-69-6140|018ae6c2e583e784da03b77cd4705028|2024-06-23|22:44:57|1719197097|grocery_pos|920.21|1|fraud_Barton Inc|40.184689|-83.678338
503-69-6140|6876cef94938d9ffb62bfd0a7abd491b|2024-06-23|17:35:32|1719178532|misc_net|772.01|1|fraud_Moore, Dibbert and Koepp|40.912199|-82.888043
503-69-6140|c7ad16875b0e832988391284532303b0|2022-05-21|02:16:06|1653113766|shopping_pos|52.47|0|fraud_Bernhard, Grant and Langworth|40.071874|-83.247997
503-69-6140|9af5b79902bc1bf97e1a84a67a570261|2022-01-21|02:17:17|1642749437|shopping_net|75.71|0|fraud_Goyette Inc|40.881316|-82.243539
503-69-6140|bfed54e08bf3f05bd9695cfda72d826a|2021-06-18|02:51:56|1623999116|misc_net|66.77|0|fraud_Brown PLC|39.836276|-83.895507
503-69-6140|7cb2b80e0869970984039be9f9451e79|2020-12-30|00:53:12|1609307592|grocery_pos|38.53|0|fraud_Hackett-Lueilwitz|40.939097|-83.808941
503-69-6140|0102fd2964bcbad0c9db75f378ec7bd7|2020-10-04|08:10:31|1601813431|gas_transport|61.28|0|fraud_Zieme, Bode and Dooley|40.583209|-83.708481
503-69-6140|1a4632f02ef8e59f83119c66a7afacbc|2020-08-24|01:10:45|1598245845|gas_transport|92.65|0|fraud_Torp-Labadie|40.020098|-83.461056
