ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Kathy|Johnson|F|863 Lawrence Valleys|Staten Island|NY|10302|40.6306|-74.1379|468730|Accounting technician|1982-10-03|888022315787|adults_2550_female_urban.json
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|Peabody|MA|01960|42.5326|-70.9612|50944|Professor Emeritus|1994-06-07|917558277935|adults_2550_female_urban.json
167-48-5821|4192832764832|Melinda|Cameron|F|05641 Robin Port|Waukomis|OK|73773|36.2781|-97.8996|1744|International aid/development worker|1934-05-30|718172762479|adults_50up_female_rural.json
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Los Angeles|CA|90019|34.0482|-118.3343|2383912|Seismic interpreter|1991-12-26|947268892251|adults_2550_male_urban.json
697-93-1877|4514627048281480|Lisa|Hernandez|F|809 Burns Creek|Austin|TX|78727|30.4254|-97.7195|940359|Medical laboratory scientific officer|1998-05-22|888335239225|adults_2550_female_urban.json
246-08-3947|3517182278248964|Vincent|Hickman|M|465 Lam Mission|San Jose|CA|95138|37.2602|-121.7709|973849|Community arts worker|1960-06-18|245877882397|adults_50up_male_urban.json
347-03-9639|213193010310510|Jose|Ramirez|M|82997 Kristen Valley Suite 311|Wasco|CA|93280|35.648|-119.4487|27152|Plant breeder/geneticist|2009-03-06|465378164447|young_adults_male_urban.json
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Sheridan|MT|59749|45.423|-112.1735|1513|Quarry manager|1990-12-27|950105810049|adults_2550_male_rural.json
061-22-6210|630447468723|Cheryl|Robinson|F|805 Brendan Neck|Jonesboro|AR|72404|35.7792|-90.766|77249|Retail buyer|1983-08-23|940251608167|adults_2550_female_urban.json
162-08-8321|2222913619399092|Bradley|Sandoval|M|3534 Anderson Rue Suite 751|Kansas City|KS|66104|39.1375|-94.6792|150224|Acupuncturist|1976-01-26|684868121383|adults_2550_male_urban.json
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Pomona|CA|91767|34.0812|-117.7362|154204|Surgeon|1977-02-26|297020387114|adults_2550_male_urban.json
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Center|TX|75935|31.7865|-94.1869|13685|Television floor manager|1941-08-02|161286867170|adults_50up_female_urban.json
131-06-5051|345331586923222|Sierra|Johnson|F|3421 Brennan Walks Suite 337|Hanford|CA|93230|36.3314|-119.6491|65264|Maintenance engineer|1991-08-16|903253916954|adults_2550_female_urban.json
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Truckee|CA|96161|39.3385|-120.1729|18451|Commercial art gallery manager|1950-09-29|989496879843|adults_50up_female_urban.json
