ssn|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
094-64-2273|23291288a0fad9f39a781940566a8b18|2021-02-07|02:57:03|1612684623|grocery_pos|309.18|1|fraud_Kutch and Sons|40.483233|-79.027409
094-64-2273|5c3e3b5a832c43ccc0a0f17013e3377b|2021-02-07|03:10:44|1612685444|grocery_pos|363.64|1|fraud_Cole PLC|41.205031|-80.856905
094-64-2273|8bcde79ad860b88e61b4afd35f31b8e6|2021-02-07|01:00:17|1612677617|grocery_pos|302.93|1|fraud_Heidenreich PLC|40.750863|-79.464728
094-64-2273|82bb9edeaffa891d41a0aaae5167936a|2021-02-07|03:01:24|1612684884|grocery_pos|274.72|1|fraud_Huel, Hammes and Witting|39.525107|-80.070254
094-64-2273|892facfd266035276f9afe0e095025cd|2021-02-07|00:50:52|1612677052|grocery_pos|291.7|1|fraud_McDermott-Weimann|39.667449|-80.703041
094-64-2273|9e450b61461b5ba20e4aa615677b57a4|2021-02-07|22:53:21|1612756401|shopping_net|731.17|1|fraud_Streich, Dietrich and Barton|40.079427|-79.096926
094-64-2273|45cba97bfbf772610a89fb984c1c9cd5|2021-02-08|22:11:22|1612840282|shopping_pos|982.38|1|fraud_Bernhard, Grant and Langworth|40.328389|-79.509982
094-64-2273|4bef53857a5eb346bcb7351b96e89dab|2021-02-07|22:33:39|1612755219|shopping_net|877.04|1|fraud_Streich, Dietrich and Barton|40.953812|-80.001341
094-64-2273|a6e519b0969c3e2517d7d4efb3d42e7f|2021-02-08|23:06:27|1612843587|shopping_net|915.95|1|fraud_Streich, Dietrich and Barton|40.707568|-79.916367
094-64-2273|478abf988054b0b85984d1ca199a735c|2021-02-07|22:19:24|1612754364|misc_net|1022.57|1|fraud_Kuhn LLC|40.587462|-79.635087
094-64-2273|830aa2e88685faa48b115b4d9facd16e|2021-02-07|22:49:24|1612756164|misc_net|853.49|1|fraud_Zemlak Group|40.357436|-80.27122
094-64-2273|2c59b695a0915a662344012f71b5e1e5|2021-02-08|23:20:56|1612844456|personal_care|1050.92|1|fraud_Hills-Boyer|39.884335|-80.766611
094-64-2273|0cc714a956b671395ccfc3db079d0bee|2021-02-07|23:03:34|1612757014|misc_net|1249.69|1|fraud_Kerluke, Kertzmann and Wiza|40.814111|-79.541388
094-64-2273|ec1e6f80df97de5e08e837cf6439e331|2021-02-08|23:09:37|1612843777|shopping_net|19.4|1|fraud_Schumm PLC|39.763943|-80.612292
094-64-2273|7a3e7d3aec948c1180c229abf77cb601|2020-03-07|00:41:13|1583559673|gas_transport|84.06|0|fraud_Luettgen PLC|41.015609|-80.117793
094-64-2273|989cef3bc74638995914fc566812b1a3|2020-11-23|04:27:27|1606123647|grocery_net|70.47|0|fraud_Rowe-Vandervort|40.739347|-80.790149
094-64-2273|6d1f64a07cd30e277cf5a6f1abfb6c88|2020-03-18|11:51:15|1584546675|gas_transport|55.7|0|fraud_Parisian and Sons|41.367183|-79.551814
094-64-2273|3704634743b91ed0d8126832b3fca642|2020-01-12|11:40:51|1578847251|gas_transport|71.58|0|fraud_Greenholt, Jacobi and Gleason|40.431044|-80.878948
094-64-2273|c6f1df1dda117eff9e31d484dc0c263d|2020-12-06|09:31:27|1607265087|grocery_net|72.05|0|fraud_Roob LLC|40.562046|-79.159427
094-64-2273|59d7b8de7e72dbfebb01954c2f064e7a|2020-10-25|07:31:51|1603625511|grocery_net|39.3|0|fraud_Rowe-Vandervort|40.491281|-79.019223
094-64-2273|29bcee9278677c0263fc83f3909663b1|2021-01-08|08:37:17|1610113037|grocery_net|41.88|0|fraud_Murray Ltd|40.09138|-79.532267
