ssn|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
888-84-2079|89509fbb306d01cb5f3c2d68859c66a5|2024-02-07|01:05:50|1707285950|misc_net|10.16|1|fraud_Kuphal-Bartoletti|41.772211|-91.786844
888-84-2079|01b65d9ac479b42b981f8acae546a323|2024-02-07|03:34:08|1707294848|grocery_pos|271.31|1|fraud_Heller, Gutmann and Zieme|43.07892|-91.382327
888-84-2079|27d387143e2703577221ea3520224b8e|2024-02-08|07:49:58|1707396598|misc_net|299.92|1|fraud_Donnelly PLC|41.506696|-89.971453
888-84-2079|e31efc7164d9e771cd13d1fae9cd91fc|2024-02-07|01:14:10|1707286450|grocery_pos|292.95|1|fraud_Bogisich Inc|43.266198|-90.725343
888-84-2079|d3f0649a0d8bc09d1ceb78f902559fcb|2024-02-07|02:15:07|1707290107|grocery_net|871.7|1|fraud_Cassin-Harvey|41.842469|-91.15324
888-84-2079|b9ad8c02e25f672d6d1064560ad729bd|2024-02-07|01:35:29|1707287729|grocery_pos|733.87|1|fraud_Kuhic Inc|42.742451|-90.821513
888-84-2079|77663a6c1b0395850b57ed4ca10434c4|2024-02-08|22:01:55|1707447715|shopping_net|1089.91|1|fraud_Reichert, Rowe and Mraz|42.989025|-90.145744
888-84-2079|41bebd6e823e45327b899f78f72c8c30|2024-02-08|22:24:31|1707449071|shopping_net|1050.51|1|fraud_Terry-Huel|42.700423|-91.04463
888-84-2079|1bd3832005050875770186bfbad14026|2024-02-08|22:29:50|1707449390|shopping_net|878.65|1|fraud_Auer-West|42.944123|-91.64286
888-84-2079|f93aff1e5bcaefd669670a4aa8bbc6ed|2024-02-08|23:16:09|1707452169|shopping_net|1186.14|1|fraud_Gerlach Inc|43.026701|-90.490928
888-84-2079|37d6eca81867fc08d5efd79b430031c2|2024-02-08|23:22:42|1707452562|shopping_pos|1142.63|1|fraud_Douglas, Schneider and Turner|43.279894|-91.597423
888-84-2079|f7cf59e447c42e89c24185ebc931ec5b|2024-02-08|22:58:51|1707451131|travel|806.9|1|fraud_Hahn, Douglas and Schowalter|43.047027|-91.23414
888-84-2079|a6850ac298cde766793d55b535ed3918|2024-02-08|22:42:07|1707450127|shopping_net|9.24|1|fraud_Stamm-Witting|41.726881|-91.718484
888-84-2079|7ba400cca9db1d304b003b9f65055325|2020-04-03|08:43:21|1585917801|gas_transport|29.0|0|fraud_Cummerata-Jones|41.947361|-91.852279
888-84-2079|5238067f9d0336fd5a68342d47260a3e|2020-11-21|01:11:30|1605939090|grocery_net|55.59|0|fraud_Tromp, Kerluke and Glover|41.466759|-91.60753
888-84-2079|62420a083b1a095af49a030813429cf9|2020-09-29|09:21:02|1601385662|gas_transport|65.01|0|fraud_Erdman-Kertzmann|42.826194|-91.529046
888-84-2079|777e5457fd5c35d5ddf17735c0d9a148|2020-06-17|06:14:39|1592388879|gas_transport|68.71|0|fraud_Cummings LLC|42.308582|-90.037445
