ssn|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
446-98-6059|075416a964c2c259531c9254e5ad9fbd|2020-03-16|01:42:31|1584337351|grocery_pos|8.6|1|fraud_DuBuque LLC|41.628507|-106.110268
446-98-6059|f943c4b6c780c7afb71efcc3b28250cb|2020-03-16|02:34:27|1584340467|grocery_pos|9.17|1|fraud_Schultz, Simonis and Little|40.352065|-107.328971
446-98-6059|c830ecc020050ea292e242187a88e4dd|2020-03-16|03:20:05|1584343205|gas_transport|278.11|1|fraud_Heller-Langosh|40.269615|-107.567404
446-98-6059|f113178d870b2cccea57223e70c370a4|2020-03-16|02:07:57|1584338877|gas_transport|279.94|1|fraud_Conroy-Cruickshank|39.757068|-106.115514
446-98-6059|1cdca11d7feb74fa720a38c62a49fcad|2020-03-17|22:02:49|1584496969|shopping_net|936.27|1|fraud_Kozey-Boehm|41.675818|-106.852794
446-98-6059|7e6eb35d0d6349668fca60c8c53a747b|2020-03-17|22:47:25|1584499645|food_dining|1099.67|1|fraud_Armstrong, Walter and Gottlieb|40.698518|-107.185088
446-98-6059|717ed61a44f9061c79d8133726160ae3|2020-03-17|23:36:20|1584502580|shopping_pos|820.81|1|fraud_Lesch Ltd|40.864414|-106.83602
446-98-6059|3384faa154a1cd9297d8c88837b533c2|2020-03-17|22:56:43|1584500203|shopping_net|1228.17|1|fraud_Baumbach, Feeney and Morar|41.233687|-107.429045
446-98-6059|c87ff6c1cd098517e8ec1d72f3f6e0fb|2020-03-17|22:13:44|1584497624|shopping_pos|1171.6|1|fraud_Friesen Inc|40.172242|-106.204454
446-98-6059|e6eabd122b1d054eb2d15f2b90b4a865|2020-03-17|23:19:32|1584501572|shopping_pos|1163.02|1|fraud_Hudson-Grady|40.406367|-107.297714
446-98-6059|ce1e84042fcba4971fa68797965fb9f2|2020-03-17|22:02:03|1584496923|misc_net|1180.39|1|fraud_Huel-Langworth|40.642926|-107.103012
446-98-6059|7108d34de244e385a09526f78f3b09fe|2020-03-17|22:58:13|1584500293|shopping_pos|117.86|1|fraud_Dooley Inc|41.062325|-106.082037
446-98-6059|baa4ff1b8bd9229786ef1dca8075f682|2020-06-13|01:40:01|1592026801|gas_transport|78.82|0|fraud_Prohaska-Murray|40.672825|-106.460864
446-98-6059|d00f8ef9fb32148d0467a05e68bbe39b|2020-04-13|01:30:23|1586755823|gas_transport|30.49|0|fraud_Robel, Cummerata and Prosacco|39.768854|-105.967593
446-98-6059|61dc6ef74f8ef652a3a4983a4a1719d6|2020-08-25|04:16:56|1598343416|gas_transport|75.3|0|fraud_Prohaska-Murray|40.256175|-106.00549
446-98-6059|b6d7e9a4770bc42cf05434047516fb7d|2020-03-19|01:08:05|1584594485|gas_transport|66.81|0|fraud_Kuvalis Ltd|40.390383|-107.723006
446-98-6059|a9cd2d60e535f9bf7b1e27d9acdc7d96|2021-03-12|10:17:21|1615562241|grocery_pos|39.43|0|fraud_Hackett-Lueilwitz|40.272894|-106.752114
446-98-6059|51cdc34c69d51b388852435b06cbe2cd|2021-04-14|01:03:49|1618376629|grocery_pos|47.08|0|fraud_Bauch-Raynor|41.041272|-106.956621
446-98-6059|69a4c07bf47f62b558a62eeed9a16e10|2020-12-08|01:20:46|1607408446|grocery_net|73.44|0|fraud_Spinka-Welch|41.367237|-107.120671
446-98-6059|e1cc235b02de9b29555a01f6ae9a982c|2020-05-31|03:04:35|1590908675|gas_transport|44.98|0|fraud_Kuvalis Ltd|40.647827|-106.118357
446-98-6059|55657dec21b2476f307bc4f50a8c2557|2020-12-27|05:52:40|1609066360|grocery_net|69.79|0|fraud_Jaskolski-Dibbert|40.335681|-106.203164
446-98-6059|e9cccb4496e26dff617f2ea097ab2414|2020-10-16|07:24:42|1602847482|gas_transport|22.44|0|fraud_Schaefer, McGlynn and Bosco|40.86891|-107.451077
446-98-6059|9474ead29f3ed15308f9b6a1a5edad78|2020-12-23|01:00:08|1608703208|grocery_net|44.13|0|fraud_Pfeffer LLC|40.821082|-107.547405
446-98-6059|d3d940b469a98f02c402317e4acc9ff0|2020-12-09|07:33:19|1607517199|grocery_net|72.96|0|fraud_Bernier, Streich and Jewess|41.121268|-107.272849
446-98-6059|c03b5ce4ac0b3abadf67bedc0fc59937|2021-03-12|10:27:45|1615562865|grocery_pos|57.8|0|fraud_Auer-Mosciski|39.832404|-106.531132
446-98-6059|4bb88baa757cbf7f6898f30feb636370|2020-11-07|09:33:31|1604759611|grocery_net|56.77|0|fraud_Skiles-Ankunding|41.412495|-106.078167
446-98-6059|6b7ada6bb0e3932d916a9d96397f72c9|2020-06-06|09:36:05|1591450565|gas_transport|61.27|0|fraud_Schmitt Inc|40.057049|-106.1292
446-98-6059|49296611c7196a4cba65143876b21fa8|2021-03-31|05:56:20|1617184580|grocery_pos|64.25|0|fraud_Hudson-Ratke|41.400347|-106.670441
446-98-6059|bfc76b58f6bc5b3facccadf7c6324fa4|2020-10-23|00:07:04|1603426024|gas_transport|77.38|0|fraud_Mraz-Herzog|40.599995|-106.163078
446-98-6059|55e5ea58d542fbdbbf752b9759a3b542|2020-12-20|01:08:45|1608444525|grocery_net|70.28|0|fraud_Smitham-Schiller|40.21122|-107.599099
446-98-6059|36fc6ebe1962e6ad08701ac006becc98|2021-01-13|07:43:57|1610541837|grocery_net|63.28|0|fraud_Emmerich-Luettgen|40.649438|-106.791549
446-98-6059|ba9ebfe144273c9044937feb7e6c52f8|2020-10-18|00:30:13|1602995413|gas_transport|83.17|0|fraud_Bartoletti-Wunsch|40.992606|-106.586461
446-98-6059|f15ba0d557936b52b8bd60c29ffe53b8|2021-01-15|05:17:03|1610705823|grocery_net|60.18|0|fraud_Morar Inc|41.652581|-107.139489
446-98-6059|ab1ded50cb79513dba47b38d665db2b0|2020-12-13|03:54:02|1607849642|grocery_net|60.08|0|fraud_Funk Group|40.347916|-106.020495
446-98-6059|bbab42f7f246ed03e7c50d6d012349bc|2020-07-19|09:54:55|1595166895|gas_transport|78.42|0|fraud_Berge LLC|40.870333|-106.029781
446-98-6059|718ca7d3c88b67508e02aa1afbcb9d10|2020-08-15|07:15:08|1597490108|gas_transport|62.88|0|fraud_Stroman, Hudson and Erdman|40.836865|-106.079047
446-98-6059|b1167ef742f7e105fee2e5ad21ba6822|2020-08-22|05:18:30|1598087910|gas_transport|35.93|0|fraud_Sporer Inc|41.218668|-106.143581
446-98-6059|89323709367073fa1466e31e4979d2c5|2021-02-20|02:57:49|1613807869|grocery_net|51.78|0|fraud_Spinka Inc|40.13074|-107.281607
446-98-6059|a3eae689c9951d4414b827016b9a4b0a|2020-09-27|09:36:08|1601213768|gas_transport|56.95|0|fraud_Bernhard Inc|41.496863|-107.114082
446-98-6059|5d4b61d27e465f2053eda747a15218db|2021-05-02|01:24:14|1619933054|grocery_pos|71.95|0|fraud_Koepp-Parker|41.698969|-107.408081
446-98-6059|015efe110ae89fba50c874312c328870|2020-12-11|03:13:02|1607674382|grocery_net|71.07|0|fraud_Spinka Inc|40.605328|-107.670599
446-98-6059|bb79bb2544734aac756cbba2778d59d9|2020-06-15|03:13:55|1592205235|gas_transport|47.21|0|fraud_Kutch, Hermiston and Farrell|41.654428|-106.080395
446-98-6059|267e5187cfccffef92e787e4a0c67bfd|2020-12-13|02:22:15|1607844135|grocery_net|82.2|0|fraud_Runolfsson and Sons|40.197259|-106.569002
446-98-6059|bf9fdd2a94398e12c553d73685813229|2020-08-22|09:46:50|1598104010|gas_transport|55.73|0|fraud_Bernhard Inc|40.44941|-106.820898
446-98-6059|5f64b7c94424cd7d71b79926bbfd82cb|2021-03-06|01:03:23|1615010603|grocery_net|69.59|0|fraud_McCullough Group|41.308095|-105.98821
446-98-6059|82a06bf54096a8c72cbae8cd06509370|2021-03-06|04:58:18|1615024698|grocery_net|56.43|0|fraud_Morissette, Weber and Wiegand|40.457559|-106.398512
446-98-6059|07d05d4bdcdb9f9fd62c874d866df712|2020-11-23|06:01:41|1606129301|grocery_net|53.1|0|fraud_Paucek-Wiza|41.290419|-107.405485
446-98-6059|4128758dac913c1b6d77aeede6075401|2020-06-11|00:42:22|1591850542|gas_transport|53.69|0|fraud_Kuvalis Ltd|40.608134|-107.454024
446-98-6059|7ecaa76c0d3c9ddd4164431fdb3673f6|2021-03-05|05:17:57|1614939477|grocery_net|54.33|0|fraud_Runolfsson and Sons|41.726302|-106.461776
446-98-6059|403e0afff70262dbf5fc2e558e75a801|2020-03-27|09:09:10|1585314550|gas_transport|73.7|0|fraud_Heller-Langosh|40.990163|-106.847986
446-98-6059|3329860b9cd65df791e741fc10cd203c|2020-05-30|01:00:09|1590814809|gas_transport|53.0|0|fraud_Robel, Cummerata and Prosacco|40.409978|-107.310223
446-98-6059|6b454c1eb425bbcf8c4239199800ebf9|2021-04-09|00:23:35|1617942215|grocery_pos|65.17|0|fraud_Padberg-Welch|40.495164|-106.425257
446-98-6059|caa106d2805846061383e3bd00dfa4d0|2020-11-22|02:47:55|1606031275|grocery_net|51.55|0|fraud_Ferry, Reichel and DuBuque|41.010991|-105.947729
446-98-6059|0eadfd3b22f900b06e768f040b185a59|2020-12-23|08:41:23|1608730883|grocery_net|49.5|0|fraud_Dicki Ltd|40.357551|-106.675477
446-98-6059|5b8f68600eeb18d5a5e0071457a9af52|2020-12-27|01:15:13|1609049713|grocery_net|66.08|0|fraud_Heller-Abshire|41.645509|-106.803217
446-98-6059|851a10d13cacfcaaa2c50e664e65159d|2021-05-01|10:27:56|1619879276|grocery_pos|82.11|0|fraud_Rutherford-Mertz|41.680663|-106.724634
446-98-6059|881d51977ea65208c3f1682148d85133|2020-10-17|09:42:30|1602942150|gas_transport|22.16|0|fraud_Koss and Sons|41.553946|-106.928577
446-98-6059|2748cba670fef3985415c31a45157529|2020-04-03|11:25:44|1585927544|gas_transport|49.3|0|fraud_Zieme, Bode and Dooley|40.986215|-106.245888
